orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,EPI - Population  <1 year
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,2024,2024,2024,,11438
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,2024,2024,2024,,10221
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,2024,2024,2024,,9946
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,2024,2024,2024,,5599
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,2024,2024,2024,,10135
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,2024,2024,2024,,6420
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,2024,2024,2024,,14848
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,2024,2024,2024,,9598
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,2024,2024,2024,,9013
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,2024,2024,2024,,6927
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,2024,2024,2024,,10612
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,2024,2024,2024,,12689
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,2024,2024,2024,,29206
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,2024,2024,2024,,10681
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,2024,2024,2024,,9103
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,2024,2024,2024,,10256
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,2024,2024,2024,,7852
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,2024,2024,2024,,8609
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,2024,2024,2024,,24863
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,2024,2024,2024,,6618
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,2024,2024,2024,,6717
MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,2024,2024,2024,,9800
MOH - Uganda,Bugisu,Bududa District,AhwgeZQYj16,Bududa District,,,2024,2024,2024,,13751
MOH - Uganda,Bugisu,Bukwo District,e8m9ZYMRoeR,Bukwo District,,,2024,2024,2024,,6175
MOH - Uganda,Bugisu,Bulambuli District,auLatLbcOxf,Bulambuli District,,,2024,2024,2024,,11890
MOH - Uganda,Bugisu,Kapchorwa District,aginheWSLef,Kapchorwa District,,,2024,2024,2024,,5904
MOH - Uganda,Bugisu,Kween District,h1O9AvNR4jS,Kween District,,,2024,2024,2024,,5194
MOH - Uganda,Bugisu,Manafwa District,JIZDvNlIhXS,Manafwa District,,,2024,2024,2024,,8170
MOH - Uganda,Bugisu,Mbale City,ALFFOStwtqW,Mbale City,,,2024,2024,2024,,15424
MOH - Uganda,Bugisu,Mbale District,yuo5ielNL7W,Mbale District,,,2024,2024,2024,,12857
MOH - Uganda,Bugisu,Namisindwa District,TGzZPOmbgn8,Namisindwa District,,,2024,2024,2024,,10888
MOH - Uganda,Bugisu,Sironko District,wJ2a6YKDFZW,Sironko District,,,2024,2024,2024,,12711
MOH - Uganda,Bukedi,Budaka District,kb7iUQISRlx,Budaka District,,,2024,2024,2024,,12345
MOH - Uganda,Bukedi,Busia District,lkuO79O6mRx,Busia District,,,2024,2024,2024,,18387
MOH - Uganda,Bukedi,Butaleja District,MtpE3CH6vq3,Butaleja District,,,2024,2024,2024,,14753
MOH - Uganda,Bukedi,Butebo District,FDPqRvcW3NN,Butebo District,,,2024,2024,2024,,5461
MOH - Uganda,Bukedi,Kibuku District,Oyxwe3iDqpR,Kibuku District,,,2024,2024,2024,,12371
MOH - Uganda,Bukedi,Pallisa District,WiVj4bEhX4P,Pallisa District,,,2024,2024,2024,,17867
MOH - Uganda,Bukedi,Tororo District,KhT80mlwJ3Y,Tororo District,,,2024,2024,2024,,28096
MOH - Uganda,Bunyoro,Buliisa District,CQTmrrriwOq,Buliisa District,,,2024,2024,2024,,7697
MOH - Uganda,Bunyoro,Hoima City,ZqJ9w7mzitv,Hoima City,,,2024,2024,2024,,5999
MOH - Uganda,Bunyoro,Hoima District,PJFtfCyp6Rb,Hoima District,,,2024,2024,2024,,12332
MOH - Uganda,Bunyoro,Kagadi District,orgY0d5MJa9,Kagadi District,,,2024,2024,2024,,21061
MOH - Uganda,Bunyoro,Kakumiro District,Lnewt3iIJaK,Kakumiro District,,,2024,2024,2024,,28002
MOH - Uganda,Bunyoro,Kibaale District,tM3DsJxMaMX,Kibaale District,,,2024,2024,2024,,10668
MOH - Uganda,Bunyoro,Kikuube District,L5WBetpBpY3,Kikuube District,,,2024,2024,2024,,18675
MOH - Uganda,Bunyoro,Kiryandongo District,B0G9cqixld8,Kiryandongo District,,,2024,2024,2024,,14955
MOH - Uganda,Bunyoro,Masindi District,xr8EMirOASp,Masindi District,,,2024,2024,2024,,16151
MOH - Uganda,Busoga,Bugiri District,gUaoj8Geuao,Bugiri District,,,2024,2024,2024,,23899
MOH - Uganda,Busoga,Bugweri District,AIonX4LaJeU,Bugweri District,,,2024,2024,2024,,9043
MOH - Uganda,Busoga,Buyende District,F3ccON3OCsL,Buyende District,,,2024,2024,2024,,20945
MOH - Uganda,Busoga,Iganga District,oNxpMjveyZt,Iganga District,,,2024,2024,2024,,19277
MOH - Uganda,Busoga,Jinja City,wRApaxY2zJf,Jinja City,,,2024,2024,2024,,12225
MOH - Uganda,Busoga,Jinja District,aJR2ZxSH7g4,Jinja District,,,2024,2024,2024,,11090
MOH - Uganda,Busoga,Kaliro District,kJCEJnXLgnh,Kaliro District,,,2024,2024,2024,,14095
MOH - Uganda,Busoga,Kamuli District,oyygQ2STBST,Kamuli District,,,2024,2024,2024,,26161
MOH - Uganda,Busoga,Luuka District,hn1AlYtF1Pu,Luuka District,,,2024,2024,2024,,12307
MOH - Uganda,Busoga,Mayuge District,mv4gKtY0qW8,Mayuge District,,,2024,2024,2024,,27176
MOH - Uganda,Busoga,Namayingo District,Ut0ysYGEipO,Namayingo District,,,2024,2024,2024,,10776
MOH - Uganda,Busoga,Namutumba District,esIUe2tQAtL,Namutumba District,,,2024,2024,2024,,14904
MOH - Uganda,Kampala,Kampala District,aXmBzv61LbM,Kampala District,,,2024,2024,2024,,77125
MOH - Uganda,Karamoja,Abim District,NREoMszwQZW,Abim District,,,2024,2024,2024,,8325
MOH - Uganda,Karamoja,Amudat District,a8RHFdF4DXL,Amudat District,,,2024,2024,2024,,6785
MOH - Uganda,Karamoja,Kaabong District,eOJUW6OGpc7,Kaabong District,,,2024,2024,2024,,5895
MOH - Uganda,Karamoja,Karenga District,Hmh5JQLls1d,Karenga District,,,2024,2024,2024,,3216
MOH - Uganda,Karamoja,Kotido District,aPZzL4CyBTg,Kotido District,,,2024,2024,2024,,9628
MOH - Uganda,Karamoja,Moroto District,A9kRCvmn6Co,Moroto District,,,2024,2024,2024,,5538
MOH - Uganda,Karamoja,Nabilatuk District,mOXva2xiwQv,Nabilatuk District,,,2024,2024,2024,,4605
MOH - Uganda,Karamoja,Nakapiripirit District,VuHCApXcMTm,Nakapiripirit District,,,2024,2024,2024,,5728
MOH - Uganda,Karamoja,Napak District,EDhGji3EteB,Napak District,,,2024,2024,2024,,7254
MOH - Uganda,Kigezi,Kabale District,zBIpPzKYFLp,Kabale District,,,2024,2024,2024,,11154
MOH - Uganda,Kigezi,Kanungu District,aphcy5JTnd6,Kanungu District,,,2024,2024,2024,,10294
MOH - Uganda,Kigezi,Kisoro District,aPhSZRinfbg,Kisoro District,,,2024,2024,2024,,14513
MOH - Uganda,Kigezi,Rubanda District,wZrfAgC3WrU,Rubanda District,,,2024,2024,2024,,9236
